origin_country_iso_code,destination_country_iso_code,scaling_factor
DEU,GRC,0.012048192771084338
DEU,HKG,0.7339449541284404
DEU,HUN,0.01107011070110701
DEU,ISL,0.007874015748031496
DEU,IND,0.17391304347826086
DEU,ISR,0.4375
DEU,ITA,0.058502906976744186
DEU,JPN,0.25842696629213485
DEU,KAZ,0.21428571428571427
DEU,LVA,0.07942238267148015
DEU,LBN,0.08333333333333333
DEU,LUX,0.007782101167315175
DEU,MYS,1
DEU,MLT,0.5
DEU,MAR,0.8
DEU,NLD,0.14316546762589927
DEU,NOR,0.09774436090225563
DEU,POL,0.0054249547920434
DEU,PRT,0.0575
DEU,QAT,1
DEU,ROU,0.07368421052631578
DEU,RUS,0.08431836091410559
DEU,SAU,0.36363636363636365
DEU,SEN,1
DEU,SRB,0.02197802197802198
DEU,SGP,1
DEU,KOR,1
DEU,ESP,0.10351692103516921
DEU,SWE,0.06750241080038573
DEU,CHE,0.061806656101426306
DEU,THA,0.0728476821192053
DEU,TUR,0.10457516339869281
DEU,UKR,0.012448132780082987
DEU,ARE,0.5296610169491526
DEU,GBR,0.055099948744233726
DEU,USA,0.36124121779859486
DEU,UZB,0.5
GRC,FRA,0.006756756756756757
GRC,DEU,0.01756587202007528
GRC,NOR,0.02
GRC,SWE,0.01020408163265306
GRC,CHE,0.041666666666666664
GRC,GBR,0.006435006435006435
HKG,AUS,0.7047244094488189
HKG,AUT,1
HKG,BHR,1
HKG,BEL,1
HKG,BRN,0.42105263157894735
HKG,CAN,1
HKG,CHN,1
HKG,CZE,1
HKG,FIN,0.35294117647058826
HKG,FRA,1
HKG,DEU,1
HKG,HUN,1
HKG,IND,0.5576923076923077
HKG,IDN,1
HKG,IRL,0.14285714285714285
HKG,ISR,1
HKG,ITA,0.3448275862068966
HKG,JPN,0.3163265306122449
HKG,KAZ,1
HKG,LUX,1
HKG,MYS,0.5541666666666667
HKG,NLD,1
HKG,NZL,1
HKG,PHL,0.32131147540983607
HKG,QAT,1
HKG,RUS,1
HKG,SAU,0.9166666666666666
HKG,SGP,1
HKG,KOR,0.7570977917981072
HKG,CHE,0.37142857142857144
HKG,TWN,1
HKG,THA,0.279126213592233
HKG,TUR,1
HKG,ARE,1
HKG,GBR,1
HKG,USA,1
HUN,BEL,0.017543859649122806
